AK,
AL,FL;GA;MS;TN
AR,LA;MO;MS;OK;TN;TX
AZ,CA;NM;NV;UT
CA,AZ;NV;OR
CO,KS;NE;NM;OK;UT;WY
CT,MA;NY;RI
DC,MD;VA
DE,MD;NJ;PA
FL,AL;GA
GA,AL;FL;NC;SC;TN
HI,
IA,IL;MN;MO;NE;SD;WI
ID,MT;NV;OR;UT;WA;WY
IL,IA;IN;KY;MO;WI
IN,IL;KY;MI;OH
KS,CO;MO;NE;OK
KY,IL;IN;MO;OH;TN;VA;WV
LA,TX;AR;MS
ME,NH
MD,VA;WV;DC;PA;NJ;DE
MA,RI;CT;NY;VT;NH
MI,WI;IN;OH
MN,SD;ND;WI;IA
MS,LA;AR;TN;AL
MO,KS;IA;IL;KY;TN;AR;NE;OK
MT,ID;ND;SD;WY
NE,CO;WY;SD;IA;MO;KS
NV,CA;OR;ID;UT;AZ
NH,VT;ME;MA
NJ,DE;MD;PA;NY;CT
NM,AZ;UT;CO;OK;TX
NY,PA;VT;MA;CT;NJ
NC,SC;TN;VA;GA
ND,MT;MN;SD
OH,IN;MI;PA;WV;KY
OK,NM;CO;KS;MO;AR;TX
OR,WA;ID;NV;CA;
PA,NY;NJ;MD;WV;OH;DE
RI,CT;MA
SC,GA;NC
SD,WY;MT;ND;MN;IA;NE
TN,AR;MO;KY;VA;NC;GA;AL;MS
TX,NM;OK;AR;LA
UT,NV;ID;WY;CO;NM;AZ
VT,NY;NH;MA
VA,NC;TN;KY;WV;MD;DC
WA,OR;ID
WV,KY;OH;PA;MD;VA
WI,MN;MI;IA;IL
WY,ID;MT;SD;NE;CO;UT
